timestamp,drone_id,drone_detected,drone_type,drone_latitude,drone_longitude,operator_latitude,operator_longitude,confidence,altitude_m,speed_mps,heading_deg,device_ip,device_port
2026-05-29T17:46:06.461716+00:00,DRONE-4575,True,Parrot Anafi,18.95357,72.708191,18.924599,72.849299,0.85,496.59,4.08,270,192.168.0.9,8082
2026-05-29T17:46:07.463002+00:00,DRONE-2926,True,DJI Mini,18.94743,72.779296,19.035538,72.709672,0.97,245.16,5.67,14,192.168.0.9,8082
2026-05-29T17:46:08.463860+00:00,DRONE-3256,True,Skydio,18.923457,72.81696,19.178847,72.845237,0.83,320.26,26.14,158,192.168.0.9,8082
2026-05-29T17:46:09.464805+00:00,DRONE-5839,True,Unknown,18.959751,72.830706,19.076539,72.908867,0.9,213.87,8.13,65,192.168.0.9,8082
2026-05-29T17:46:10.465808+00:00,DRONE-7262,True,Skydio,19.078118,72.916827,19.104851,72.925924,0.98,475.14,29.03,20,192.168.0.9,8082
2026-05-29T17:46:11.466958+00:00,DRONE-7318,True,Skydio,19.004973,72.994962,18.968821,72.99275,0.94,46.14,23.98,35,192.168.0.9,8082
2026-05-29T17:46:12.467802+00:00,DRONE-4367,True,DJI Mavic,18.972806,72.892875,19.094565,72.862626,0.76,382.07,32.41,29,192.168.0.9,8082
2026-05-29T17:46:13.469272+00:00,DRONE-1859,True,DJI Mini,19.107192,72.895592,18.932118,72.793726,0.97,264.99,31.05,345,192.168.0.9,8082
2026-05-29T17:46:14.469805+00:00,DRONE-8587,True,Parrot Anafi,19.070296,72.892288,18.957855,72.956908,0.75,413.05,0.7,332,192.168.0.9,8082
2026-05-29T17:46:15.470940+00:00,DRONE-2212,True,DJI Phantom,19.14359,72.850039,19.033904,72.835708,0.75,379.86,32.64,154,192.168.0.9,8082
2026-05-29T17:46:16.472445+00:00,DRONE-1071,True,DJI Mini,19.062866,72.890463,18.987685,72.715188,0.72,491.07,5.16,37,192.168.0.9,8082
2026-05-29T17:46:17.474035+00:00,DRONE-1369,True,DJI Mavic,19.021242,72.733834,19.089189,72.761772,0.77,413.65,3.48,123,192.168.0.9,8082
2026-05-29T17:46:18.475625+00:00,DRONE-9504,True,Unknown,19.101393,72.87261,19.167962,72.859078,0.99,377.03,16.95,264,192.168.0.9,8082
2026-05-29T17:46:19.476810+00:00,DRONE-3441,True,Autel EVO,18.986895,72.73983,19.031309,72.802811,0.82,165.39,13.68,273,192.168.0.9,8082
2026-05-29T17:46:20.478171+00:00,DRONE-6148,True,Unknown,19.111414,72.802052,19.182573,72.766436,0.73,179.98,25.06,257,192.168.0.9,8082
2026-05-29T17:46:21.478804+00:00,DRONE-8340,True,DJI Phantom,19.153966,72.702043,18.928646,72.866206,0.9,329.7,1.56,171,192.168.0.9,8082
2026-05-29T17:46:22.479806+00:00,DRONE-1554,True,Parrot Anafi,19.156985,72.815436,19.013379,72.744005,0.87,85.48,13.79,66,192.168.0.9,8082
2026-05-29T17:46:23.481289+00:00,DRONE-7027,True,Unknown,18.981786,72.915119,18.993224,72.877219,0.83,36.0,12.65,280,192.168.0.9,8082
2026-05-29T17:46:24.481856+00:00,DRONE-7299,True,Skydio,19.003394,72.850956,18.95171,72.719624,0.83,313.05,0.76,100,192.168.0.9,8082
2026-05-29T17:46:25.482824+00:00,DRONE-4710,True,DJI Mavic,18.975522,72.869953,19.192207,72.810457,0.82,20.24,23.19,0,192.168.0.9,8082
2026-05-29T17:46:26.483815+00:00,DRONE-9758,True,DJI Phantom,19.025574,72.727501,19.15655,72.806893,0.71,427.1,30.79,10,192.168.0.9,8082
2026-05-29T17:46:27.484804+00:00,DRONE-2717,True,Parrot Anafi,18.992895,72.77398,19.006924,72.935932,0.7,47.24,22.06,65,192.168.0.9,8082
2026-05-29T17:46:28.485928+00:00,DRONE-6299,True,Autel EVO,19.104695,72.844248,18.991706,72.979274,0.85,180.85,17.45,246,192.168.0.9,8082
2026-05-29T17:46:29.486811+00:00,DRONE-2400,True,DJI Mini,18.952674,72.988909,18.922353,72.714364,0.96,302.54,19.68,333,192.168.0.9,8082
2026-05-29T17:46:30.487808+00:00,DRONE-5823,True,DJI Mini,19.119612,72.98333,19.146788,72.973132,0.71,56.31,0.57,73,192.168.0.9,8082
2026-05-29T17:46:31.488801+00:00,DRONE-5283,True,DJI Phantom,19.09834,72.816293,19.021355,72.897303,0.83,128.71,1.24,238,192.168.0.9,8082
2026-05-29T17:46:32.490279+00:00,DRONE-9912,True,DJI Phantom,19.148332,72.801063,18.982522,72.972169,0.92,355.5,24.72,324,192.168.0.9,8082
2026-05-29T17:46:33.491869+00:00,DRONE-7254,True,DJI Phantom,19.185258,72.974169,19.153467,72.884256,0.88,315.69,4.46,95,192.168.0.9,8082
