timestamp,drone_id,drone_detected,drone_type,drone_latitude,drone_longitude,operator_latitude,operator_longitude,confidence,altitude_m,speed_mps,heading_deg,device_ip,device_port
2026-05-29T15:37:15.331190+00:00,DRONE-5206,True,Unknown,19.000628,72.909924,18.940171,72.867345,0.92,23.23,9.76,17,192.168.0.9,8082
2026-05-29T15:37:16.332461+00:00,DRONE-3964,True,DJI Phantom,18.928666,72.774632,19.081933,72.839709,0.75,306.43,3.62,49,192.168.0.9,8082
2026-05-29T15:37:17.333603+00:00,DRONE-5236,True,Parrot Anafi,19.072195,72.725186,19.122892,72.935951,0.93,276.81,5.46,131,192.168.0.9,8082
2026-05-29T15:37:18.334744+00:00,DRONE-8798,True,Unknown,18.959067,72.799223,19.059124,72.816121,0.92,212.39,19.16,185,192.168.0.9,8082
2026-05-29T15:37:19.335823+00:00,DRONE-3053,True,DJI Mini,19.182381,72.834202,18.991532,72.993988,0.81,268.73,6.71,148,192.168.0.9,8082
2026-05-29T15:37:20.337072+00:00,DRONE-5046,True,Skydio,19.184987,72.839467,19.18316,72.815821,0.86,372.43,19.51,182,192.168.0.9,8082
2026-05-29T15:37:21.338221+00:00,DRONE-1058,True,DJI Phantom,18.921414,72.714934,19.156938,72.773864,0.77,409.38,6.44,88,192.168.0.9,8082
2026-05-29T15:37:22.339378+00:00,DRONE-3533,True,DJI Phantom,19.002673,72.964716,19.15199,72.772771,0.96,43.79,25.86,38,192.168.0.9,8082
2026-05-29T15:37:23.339808+00:00,DRONE-1680,True,Parrot Anafi,18.927061,72.809389,18.971034,72.77898,0.8,95.9,25.85,270,192.168.0.9,8082
2026-05-29T15:37:24.340811+00:00,DRONE-9454,True,Unknown,19.020382,72.95078,19.056147,72.794388,0.76,389.18,34.72,197,192.168.0.9,8082
2026-05-29T15:37:25.341809+00:00,DRONE-9771,True,Autel EVO,19.084687,72.77894,19.032751,72.9451,0.96,296.05,15.69,111,192.168.0.9,8082
2026-05-29T15:37:26.342810+00:00,DRONE-2392,True,Unknown,19.009459,72.970285,18.928123,72.778963,0.81,246.48,19.27,261,192.168.0.9,8082
2026-05-29T15:37:27.343823+00:00,DRONE-8117,True,Skydio,19.063295,72.860238,18.942711,72.829113,0.81,151.12,18.34,235,192.168.0.9,8082
2026-05-29T15:37:28.344817+00:00,DRONE-3351,True,Unknown,19.126209,72.966643,19.157141,72.868507,0.77,453.33,28.55,130,192.168.0.9,8082
2026-05-29T15:37:29.345812+00:00,DRONE-9158,True,Skydio,18.988867,72.875439,18.956472,72.974861,0.89,189.14,24.98,167,192.168.0.9,8082
2026-05-29T15:37:30.346829+00:00,DRONE-1597,True,DJI Mini,19.08826,72.7222,18.964231,72.936559,0.79,131.95,10.98,275,192.168.0.9,8082
2026-05-29T15:37:31.347825+00:00,DRONE-1268,True,DJI Phantom,19.178338,72.963836,19.127595,72.761813,0.85,149.83,4.09,282,192.168.0.9,8082
2026-05-29T15:37:32.348824+00:00,DRONE-5012,True,DJI Mavic,18.950457,72.809276,19.04136,72.749601,0.92,253.23,22.66,48,192.168.0.9,8082
2026-05-29T15:37:33.349807+00:00,DRONE-6147,True,Autel EVO,19.078033,72.712653,19.137137,72.758879,0.81,69.06,15.67,90,192.168.0.9,8082
2026-05-29T15:37:34.350954+00:00,DRONE-4244,True,DJI Mavic,19.146309,72.964817,19.054936,72.771563,0.83,353.28,18.13,355,192.168.0.9,8082
2026-05-29T15:37:35.351808+00:00,DRONE-4347,True,Parrot Anafi,18.910059,72.950186,19.189119,72.880484,0.73,490.51,1.38,95,192.168.0.9,8082
2026-05-29T15:37:36.352845+00:00,DRONE-3653,True,Autel EVO,19.045202,72.958597,19.131084,72.985716,0.75,343.11,21.22,346,192.168.0.9,8082
2026-05-29T15:37:37.354063+00:00,DRONE-2550,True,DJI Mavic,19.090549,72.844855,19.053378,72.779199,0.81,277.86,13.54,131,192.168.0.9,8082
2026-05-29T15:37:38.354813+00:00,DRONE-8749,True,Unknown,19.070955,72.936283,19.179158,72.977261,0.91,273.67,34.37,277,192.168.0.9,8082
2026-05-29T15:37:39.355807+00:00,DRONE-7222,True,Parrot Anafi,19.09486,72.961299,18.942063,72.979176,0.87,52.05,7.81,184,192.168.0.9,8082
2026-05-29T15:37:40.357291+00:00,DRONE-5223,True,Parrot Anafi,19.123471,72.921372,19.024491,72.795696,0.71,494.39,6.92,36,192.168.0.9,8082
2026-05-29T15:37:41.357805+00:00,DRONE-3767,True,DJI Phantom,19.190137,72.801251,19.003321,72.922231,0.87,425.31,1.54,185,192.168.0.9,8082
2026-05-29T15:37:42.358811+00:00,DRONE-1305,True,DJI Mavic,18.926246,72.874383,18.930843,72.717599,0.89,26.39,33.87,253,192.168.0.9,8082
2026-05-29T15:37:43.359818+00:00,DRONE-6613,True,DJI Mavic,19.015226,72.940413,19.086538,72.848401,0.9,471.71,13.74,255,192.168.0.9,8082
2026-05-29T15:37:44.360826+00:00,DRONE-3073,True,Autel EVO,18.936143,72.820489,18.927263,72.927077,0.94,152.56,26.89,313,192.168.0.9,8082
2026-05-29T15:37:45.361862+00:00,DRONE-4260,True,DJI Phantom,19.064892,72.916343,19.17967,72.807925,0.91,468.69,31.12,14,192.168.0.9,8082
2026-05-29T15:37:46.363441+00:00,DRONE-6691,True,DJI Phantom,18.956659,72.900386,19.008723,72.80871,0.75,384.11,1.32,90,192.168.0.9,8082
2026-05-29T15:37:47.364607+00:00,DRONE-4589,True,Unknown,18.907576,72.866178,19.137145,72.806115,0.97,208.64,12.5,109,192.168.0.9,8082
2026-05-29T15:37:48.364837+00:00,DRONE-3388,True,Skydio,18.935659,72.725501,19.172471,72.753789,0.98,165.41,33.48,28,192.168.0.9,8082
2026-05-29T15:37:49.365810+00:00,DRONE-5212,True,DJI Phantom,19.026026,72.868114,19.060031,72.732588,0.94,37.35,26.11,132,192.168.0.9,8082
2026-05-29T15:37:50.366810+00:00,DRONE-5283,True,Unknown,19.11406,72.765037,19.108134,72.774097,0.79,96.91,33.4,192,192.168.0.9,8082
2026-05-29T15:37:51.367806+00:00,DRONE-2945,True,DJI Mini,19.186966,72.832548,18.985071,72.944189,0.94,200.11,2.79,51,192.168.0.9,8082
2026-05-29T15:37:52.368810+00:00,DRONE-4594,True,DJI Mavic,19.025727,72.814971,19.030786,72.847315,0.83,221.62,7.78,221,192.168.0.9,8082
2026-05-29T15:37:53.369808+00:00,DRONE-9501,True,Autel EVO,18.971891,72.711967,19.030604,72.907037,0.91,48.78,30.24,14,192.168.0.9,8082
2026-05-29T15:37:54.370809+00:00,DRONE-4448,True,DJI Mavic,19.056085,72.714018,19.158353,72.750116,0.88,399.8,13.23,255,192.168.0.9,8082
2026-05-29T15:37:55.371810+00:00,DRONE-5220,True,DJI Mini,18.968851,72.796707,19.114835,72.801705,0.82,458.62,15.01,44,192.168.0.9,8082
2026-05-29T15:37:56.372809+00:00,DRONE-4974,True,DJI Mavic,19.142157,72.970014,18.93688,72.910207,0.79,430.52,5.77,148,192.168.0.9,8082
2026-05-29T15:37:57.373825+00:00,DRONE-5337,True,DJI Mavic,19.042379,72.769824,19.064028,72.784174,0.89,219.81,4.53,188,192.168.0.9,8082
2026-05-29T15:37:58.374810+00:00,DRONE-9427,True,Autel EVO,18.997164,72.799202,19.129134,72.975108,0.75,132.05,13.45,103,192.168.0.9,8082
2026-05-29T15:37:59.375821+00:00,DRONE-4594,True,Unknown,19.124628,72.866492,19.119976,72.768812,0.86,173.65,4.09,295,192.168.0.9,8082
2026-05-29T15:38:00.376821+00:00,DRONE-7957,True,DJI Mavic,19.065217,72.963704,19.080504,72.907056,0.81,393.24,3.65,167,192.168.0.9,8082
2026-05-29T15:38:01.377805+00:00,DRONE-8665,True,Unknown,18.968379,72.772269,18.965398,72.801307,0.86,153.13,14.86,285,192.168.0.9,8082
2026-05-29T15:38:02.378807+00:00,DRONE-2919,True,DJI Mini,19.04939,72.72655,19.167671,72.729087,0.86,144.75,9.15,120,192.168.0.9,8082
2026-05-29T15:38:03.379806+00:00,DRONE-5634,True,DJI Mini,19.168173,72.720713,18.987095,72.874271,0.93,198.28,11.18,14,192.168.0.9,8082
2026-05-29T15:38:04.380821+00:00,DRONE-8960,True,Skydio,19.191294,72.844797,19.095222,72.992772,0.82,432.45,19.54,98,192.168.0.9,8082
2026-05-29T15:38:05.381809+00:00,DRONE-8460,True,Skydio,19.017005,72.735165,19.001452,72.907148,0.86,75.24,25.8,289,192.168.0.9,8082
2026-05-29T15:38:06.382806+00:00,DRONE-9003,True,DJI Mavic,18.926163,72.979,19.015636,72.750557,0.95,256.96,20.6,219,192.168.0.9,8082
2026-05-29T15:38:07.383817+00:00,DRONE-2893,True,Skydio,19.062059,72.73483,18.983655,72.839176,0.78,401.99,32.99,183,192.168.0.9,8082
2026-05-29T15:38:08.384828+00:00,DRONE-5425,True,DJI Mavic,19.120114,72.997498,19.06789,72.954375,0.88,144.05,7.05,164,192.168.0.9,8082
2026-05-29T15:38:09.385855+00:00,DRONE-7757,True,Autel EVO,19.0268,72.996892,18.942097,72.806698,0.99,433.56,9.25,195,192.168.0.9,8082
2026-05-29T15:38:10.387485+00:00,DRONE-1455,True,DJI Mini,19.022532,72.940318,19.062296,72.986764,0.95,338.18,16.42,281,192.168.0.9,8082
2026-05-29T15:38:11.387824+00:00,DRONE-9577,True,DJI Mavic,19.092351,72.965554,19.053792,72.748771,0.85,464.27,9.01,104,192.168.0.9,8082
2026-05-29T15:38:12.389093+00:00,DRONE-2507,True,Parrot Anafi,19.019066,72.75158,18.994847,72.781661,0.87,412.31,7.91,105,192.168.0.9,8082
2026-05-29T15:38:13.390357+00:00,DRONE-7461,True,Parrot Anafi,19.11676,72.717281,18.954746,72.799116,0.86,243.31,7.87,307,192.168.0.9,8082
2026-05-29T15:38:14.391624+00:00,DRONE-1480,True,Parrot Anafi,19.154925,72.885724,18.929631,72.77631,0.79,169.72,22.17,68,192.168.0.9,8082
2026-05-29T15:38:15.392825+00:00,DRONE-9087,True,DJI Mini,19.083937,72.957567,19.088804,72.75842,0.97,312.9,32.89,53,192.168.0.9,8082
2026-05-29T15:38:16.393824+00:00,DRONE-1619,True,Skydio,18.986099,72.884502,19.049855,72.99733,0.74,27.05,20.94,94,192.168.0.9,8082
2026-05-29T15:38:17.395086+00:00,DRONE-7090,True,DJI Phantom,19.199442,72.849792,19.000762,72.921522,0.71,432.54,13.86,306,192.168.0.9,8082
2026-05-29T15:38:18.396234+00:00,DRONE-7590,True,Skydio,18.944178,72.83692,19.111568,72.864999,0.91,140.24,25.11,31,192.168.0.9,8082
2026-05-29T15:38:19.397389+00:00,DRONE-9357,True,Skydio,19.116752,72.816493,19.199413,72.817468,0.78,232.15,20.13,243,192.168.0.9,8082
2026-05-29T15:38:20.398549+00:00,DRONE-7913,True,Autel EVO,18.901618,72.948121,19.149802,72.758382,0.93,22.54,4.57,177,192.168.0.9,8082
2026-05-29T15:38:21.399804+00:00,DRONE-1445,True,DJI Mini,19.022112,72.700147,18.962965,72.869683,0.81,427.1,17.31,53,192.168.0.9,8082
2026-05-29T15:38:22.400966+00:00,DRONE-8881,True,Autel EVO,18.913918,72.857652,18.94593,72.928246,0.82,196.04,26.7,193,192.168.0.9,8082
2026-05-29T15:38:23.402231+00:00,DRONE-2019,True,Parrot Anafi,19.023592,72.94525,19.135537,72.937551,0.99,73.1,14.02,236,192.168.0.9,8082
2026-05-29T15:38:24.403497+00:00,DRONE-9019,True,Skydio,18.919755,72.827176,19.066114,72.765769,0.83,254.54,4.93,254,192.168.0.9,8082
2026-05-29T15:38:25.404736+00:00,DRONE-3025,True,DJI Mini,19.107759,72.737126,19.094743,72.721565,0.83,195.55,22.08,83,192.168.0.9,8082
2026-05-29T15:38:26.405910+00:00,DRONE-8737,True,Parrot Anafi,19.172768,72.741926,19.102843,72.934731,0.76,125.62,3.29,238,192.168.0.9,8082
2026-05-29T15:38:27.407074+00:00,DRONE-2836,True,Autel EVO,19.137891,72.775713,18.933953,72.99475,0.78,241.34,25.91,121,192.168.0.9,8082
2026-05-29T15:38:28.408335+00:00,DRONE-5025,True,Parrot Anafi,19.034661,72.937851,19.185855,72.774509,0.75,228.79,21.74,323,192.168.0.9,8082
2026-05-29T15:38:29.408858+00:00,DRONE-5857,True,Skydio,19.099369,72.82393,19.166037,72.722817,0.78,54.0,17.11,218,192.168.0.9,8082
2026-05-29T15:38:30.410445+00:00,DRONE-9628,True,Parrot Anafi,19.093532,72.728118,19.086724,72.729837,0.82,464.33,8.46,302,192.168.0.9,8082
2026-05-29T15:38:31.412039+00:00,DRONE-5181,True,DJI Mavic,19.186974,72.746615,19.07083,72.986585,0.82,156.01,23.86,155,192.168.0.9,8082
2026-05-29T15:38:32.413636+00:00,DRONE-6527,True,Parrot Anafi,18.904191,72.964782,19.096589,72.733564,0.96,311.91,27.82,58,192.168.0.9,8082
2026-05-29T15:38:33.415266+00:00,DRONE-2602,True,DJI Phantom,19.089887,72.940852,18.992067,72.831984,0.96,398.41,3.03,191,192.168.0.9,8082
