timestamp,drone_id,drone_detected,drone_type,drone_latitude,drone_longitude,operator_latitude,operator_longitude,confidence,altitude_m,speed_mps,heading_deg,device_ip,device_port
2026-05-29T17:33:22.688235+00:00,DRONE-6271,True,DJI Mini,18.994529,72.847136,19.09078,72.953177,0.91,463.21,28.03,87,192.168.0.6,8082
2026-05-29T17:33:23.690192+00:00,DRONE-5664,True,Parrot Anafi,18.992416,72.870699,19.001521,72.791113,0.82,470.23,4.74,30,192.168.0.6,8082
2026-05-29T17:33:24.691775+00:00,DRONE-1422,True,DJI Phantom,19.135513,72.831939,19.076746,72.749468,0.86,423.05,4.97,310,192.168.0.6,8082
2026-05-29T17:33:25.693342+00:00,DRONE-8845,True,DJI Mini,18.933696,72.705268,19.041421,72.807603,0.79,186.65,9.62,239,192.168.0.6,8082
2026-05-29T17:33:26.694906+00:00,DRONE-2326,True,DJI Mavic,19.109855,72.776304,19.189934,72.930066,0.93,402.63,5.66,251,192.168.0.6,8082
2026-05-29T17:33:27.696126+00:00,DRONE-1234,True,Parrot Anafi,18.958134,72.89502,18.980645,72.723251,0.72,123.34,30.37,24,192.168.0.6,8082
2026-05-29T17:33:28.697701+00:00,DRONE-1385,True,Parrot Anafi,19.074745,72.765299,19.173319,72.829668,0.85,176.39,16.82,230,192.168.0.6,8082
2026-05-29T17:33:29.698335+00:00,DRONE-2269,True,Autel EVO,19.171244,72.960508,18.945253,72.865776,0.85,76.6,32.65,354,192.168.0.6,8082
2026-05-29T17:33:30.699931+00:00,DRONE-8764,True,Parrot Anafi,19.056546,72.846362,18.951227,72.701025,0.84,296.78,11.67,106,192.168.0.6,8082
2026-05-29T17:33:31.701508+00:00,DRONE-4250,True,Unknown,19.109793,72.895576,19.107835,72.860449,0.87,330.45,1.08,151,192.168.0.6,8082
2026-05-29T17:33:32.703072+00:00,DRONE-3967,True,Unknown,18.94715,72.714108,18.980855,72.783049,0.74,452.3,27.15,64,192.168.0.6,8082
2026-05-29T17:33:33.703326+00:00,DRONE-4677,True,Autel EVO,18.932972,72.918913,19.128938,72.746256,0.94,150.99,2.11,350,192.168.0.6,8082
2026-05-29T17:33:34.704327+00:00,DRONE-3861,True,DJI Mini,18.901557,72.817288,18.943472,72.844557,0.71,433.17,24.07,356,192.168.0.6,8082
2026-05-29T17:33:35.705445+00:00,DRONE-9137,True,DJI Mini,19.163002,72.77228,19.016732,72.89943,0.99,51.87,26.18,344,192.168.0.6,8082
2026-05-29T17:33:36.706351+00:00,DRONE-5011,True,DJI Mavic,19.10738,72.894668,18.954195,72.927284,0.74,171.8,21.83,260,192.168.0.6,8082
2026-05-29T17:33:37.707812+00:00,DRONE-2607,True,Unknown,19.187105,72.816549,19.173449,72.751779,0.97,303.06,13.33,120,192.168.0.6,8082
2026-05-29T17:33:38.709390+00:00,DRONE-4808,True,DJI Mavic,19.053241,72.837301,18.926041,72.872494,0.82,74.0,21.88,325,192.168.0.6,8082
2026-05-29T17:33:39.710954+00:00,DRONE-9641,True,DJI Mavic,18.949768,72.89774,18.993066,72.977497,0.81,92.86,33.4,112,192.168.0.6,8082
2026-05-29T17:33:40.712525+00:00,DRONE-2375,True,DJI Mini,18.924079,72.862221,18.971334,72.957569,0.98,254.85,26.52,234,192.168.0.6,8082
2026-05-29T17:33:41.714098+00:00,DRONE-5709,True,Autel EVO,19.196977,72.852413,18.989765,72.72691,0.89,445.46,10.99,81,192.168.0.6,8082
2026-05-29T17:33:42.715663+00:00,DRONE-1689,True,DJI Phantom,19.120652,72.890336,19.159756,72.804647,0.74,301.95,30.28,105,192.168.0.6,8082
2026-05-29T17:33:43.717232+00:00,DRONE-9593,True,Autel EVO,18.990719,72.944566,19.149094,72.721583,0.91,404.95,7.98,249,192.168.0.6,8082
2026-05-29T17:33:44.718811+00:00,DRONE-7632,True,Parrot Anafi,19.162379,72.74261,19.196396,72.813293,0.78,151.25,12.61,103,192.168.0.6,8082
2026-05-29T17:33:45.720404+00:00,DRONE-9720,True,DJI Mini,18.920484,72.905648,19.155207,72.909327,0.95,284.19,33.83,148,192.168.0.6,8082
2026-05-29T17:33:46.721978+00:00,DRONE-4057,True,Parrot Anafi,19.060234,72.996907,19.139483,72.914475,0.91,333.79,13.83,316,192.168.0.6,8082
2026-05-29T17:33:47.723543+00:00,DRONE-9112,True,Skydio,19.11076,72.946688,19.148534,72.873929,0.87,419.95,27.9,260,192.168.0.6,8082
2026-05-29T17:33:48.725123+00:00,DRONE-6777,True,Autel EVO,18.969534,72.88814,19.044271,72.828868,0.87,241.64,22.44,323,192.168.0.6,8082
