timestamp,drone_id,drone_detected,drone_type,drone_latitude,drone_longitude,operator_latitude,operator_longitude,confidence,altitude_m,speed_mps,heading_deg,device_ip,device_port
2026-05-29T15:37:44.769442+00:00,DRONE-5394,True,Autel EVO,18.98213,72.902018,19.184484,72.967167,0.86,471.9,21.82,82,192.168.0.6,8082
2026-05-29T15:37:45.771109+00:00,DRONE-4529,True,Parrot Anafi,18.927916,72.875258,19.042137,72.870987,0.94,45.01,24.41,243,192.168.0.6,8082
2026-05-29T15:37:46.772733+00:00,DRONE-9406,True,Unknown,19.069278,72.789912,19.096636,72.86023,0.81,403.12,20.35,105,192.168.0.6,8082
2026-05-29T15:37:47.774434+00:00,DRONE-9316,True,Autel EVO,19.065534,72.838669,19.003486,72.943725,0.77,484.35,34.17,290,192.168.0.6,8082
2026-05-29T15:37:48.775568+00:00,DRONE-7806,True,Autel EVO,19.148521,72.708062,19.053252,72.85541,0.86,35.63,22.27,181,192.168.0.6,8082
2026-05-29T15:37:49.777077+00:00,DRONE-5892,True,Unknown,18.962774,72.951324,19.090407,72.743959,0.8,43.11,28.81,233,192.168.0.6,8082
2026-05-29T15:37:50.778227+00:00,DRONE-6140,True,Autel EVO,19.181232,72.742938,19.080427,72.70187,0.77,88.99,28.68,53,192.168.0.6,8082
2026-05-29T15:37:51.779353+00:00,DRONE-8526,True,Unknown,19.108367,72.919735,19.078384,72.871099,0.72,306.79,24.12,52,192.168.0.6,8082
2026-05-29T15:37:52.780626+00:00,DRONE-6394,True,Parrot Anafi,19.160709,72.836617,19.19653,72.854215,0.96,495.79,29.35,342,192.168.0.6,8082
2026-05-29T15:37:53.781344+00:00,DRONE-4298,True,DJI Phantom,18.967586,72.837158,19.161099,72.953122,0.95,433.67,17.84,142,192.168.0.6,8082
2026-05-29T15:37:54.782325+00:00,DRONE-3720,True,DJI Mini,19.100986,72.980664,19.188698,72.891839,0.91,355.42,22.28,339,192.168.0.6,8082
2026-05-29T15:37:55.783821+00:00,DRONE-4717,True,Parrot Anafi,19.051568,72.715188,19.046984,72.763415,0.7,253.34,20.29,308,192.168.0.6,8082
2026-05-29T15:37:56.784345+00:00,DRONE-6395,True,Autel EVO,18.930899,72.729506,19.181218,72.773031,0.74,54.35,13.41,270,192.168.0.6,8082
2026-05-29T15:37:57.785945+00:00,DRONE-9791,True,DJI Mini,18.943347,72.723098,19.016167,72.85344,0.99,120.23,17.76,331,192.168.0.6,8082
2026-05-29T15:37:58.787200+00:00,DRONE-5586,True,Autel EVO,19.108275,72.926858,18.902931,72.732568,0.76,48.91,17.55,106,192.168.0.6,8082
2026-05-29T15:37:59.788825+00:00,DRONE-9446,True,DJI Phantom,19.031496,72.717907,19.153077,72.900316,0.85,232.6,13.31,163,192.168.0.6,8082
2026-05-29T15:38:00.789342+00:00,DRONE-5291,True,DJI Mini,18.936136,72.975177,18.919715,72.830878,0.97,357.09,9.6,324,192.168.0.6,8082
2026-05-29T15:38:01.790838+00:00,DRONE-8088,True,DJI Mini,18.935283,72.882797,19.094304,72.788306,0.78,461.64,26.22,70,192.168.0.6,8082
2026-05-29T15:38:02.792372+00:00,DRONE-9566,True,DJI Mavic,19.182295,72.76549,18.965643,72.819774,0.91,293.31,24.04,210,192.168.0.6,8082
2026-05-29T15:38:03.793346+00:00,DRONE-9158,True,Unknown,19.181074,72.710994,19.006605,72.781034,0.74,163.96,31.75,295,192.168.0.6,8082
2026-05-29T15:38:04.794971+00:00,DRONE-3748,True,Parrot Anafi,18.976044,72.704129,19.167655,72.76796,0.74,24.42,14.61,2,192.168.0.6,8082
2026-05-29T15:38:05.796587+00:00,DRONE-8923,True,DJI Mavic,18.938391,72.732139,18.934967,72.752341,0.8,74.35,7.98,293,192.168.0.6,8082
2026-05-29T15:38:06.798203+00:00,DRONE-8412,True,Unknown,18.978407,72.722664,19.18017,72.987694,0.85,181.29,11.32,310,192.168.0.6,8082
2026-05-29T15:38:07.799841+00:00,DRONE-7465,True,Autel EVO,19.075314,72.741179,18.953578,72.729527,0.93,200.28,34.4,343,192.168.0.6,8082
2026-05-29T15:38:08.801400+00:00,DRONE-4884,True,Parrot Anafi,19.06064,72.874628,19.192359,72.783052,0.78,155.18,20.81,301,192.168.0.6,8082
2026-05-29T15:38:09.802337+00:00,DRONE-3539,True,DJI Mini,19.141415,72.758599,18.95966,72.949842,0.87,181.03,20.29,285,192.168.0.6,8082
2026-05-29T15:38:10.803337+00:00,DRONE-9913,True,Skydio,19.130721,72.71425,19.160318,72.798901,0.88,376.06,23.34,250,192.168.0.6,8082
2026-05-29T15:38:11.804942+00:00,DRONE-6307,True,DJI Mavic,19.031181,72.863893,18.974149,72.77003,0.82,357.44,9.11,235,192.168.0.6,8082
2026-05-29T15:38:12.806555+00:00,DRONE-3776,True,DJI Mavic,19.010069,72.908235,18.94049,72.910179,0.89,88.62,23.84,110,192.168.0.6,8082
2026-05-29T15:38:13.808163+00:00,DRONE-9352,True,Parrot Anafi,19.037219,72.825217,19.015539,72.776632,0.88,105.23,22.11,181,192.168.0.6,8082
2026-05-29T15:38:14.809327+00:00,DRONE-4292,True,Autel EVO,18.951868,72.878912,19.010607,72.890368,0.98,234.98,27.72,240,192.168.0.6,8082
2026-05-29T15:38:15.810835+00:00,DRONE-4772,True,DJI Phantom,19.193045,72.730216,19.130328,72.900887,0.76,481.3,14.21,305,192.168.0.6,8082
2026-05-29T15:38:16.812450+00:00,DRONE-4211,True,DJI Mini,18.988718,72.835416,19.137714,72.980907,0.91,398.35,10.44,233,192.168.0.6,8082
2026-05-29T15:38:17.814065+00:00,DRONE-5275,True,DJI Mini,19.107646,72.757966,19.150011,72.737614,0.82,119.12,26.04,297,192.168.0.6,8082
2026-05-29T15:38:18.815615+00:00,DRONE-9235,True,DJI Mini,19.122848,72.713662,18.974774,72.760564,0.86,316.3,7.37,100,192.168.0.6,8082
2026-05-29T15:38:19.817227+00:00,DRONE-9604,True,DJI Mini,19.182603,72.701053,18.979152,72.734895,0.98,409.78,7.13,353,192.168.0.6,8082
2026-05-29T15:38:20.818378+00:00,DRONE-3189,True,Autel EVO,19.137299,72.812081,18.936867,72.793513,0.74,173.02,31.3,25,192.168.0.6,8082
2026-05-29T15:38:21.820045+00:00,DRONE-7969,True,Unknown,19.147071,72.700025,19.152224,72.928882,0.88,417.82,27.79,333,192.168.0.6,8082
2026-05-29T15:38:22.821659+00:00,DRONE-8227,True,DJI Mavic,19.178143,72.960985,18.95897,72.740445,0.83,312.4,4.61,124,192.168.0.6,8082
2026-05-29T15:38:23.823269+00:00,DRONE-7533,True,Autel EVO,19.154415,72.999071,19.180545,72.899804,0.74,36.04,32.89,58,192.168.0.6,8082
2026-05-29T15:38:24.823849+00:00,DRONE-8305,True,Parrot Anafi,19.146885,72.796994,18.905758,72.730821,0.83,146.5,33.99,138,192.168.0.6,8082
2026-05-29T15:38:25.824345+00:00,DRONE-6814,True,DJI Phantom,19.06808,72.766496,19.144593,72.751788,0.85,110.69,0.27,7,192.168.0.6,8082
2026-05-29T15:38:26.825950+00:00,DRONE-9450,True,Skydio,19.179609,72.932995,18.907207,72.714841,0.9,406.32,27.65,94,192.168.0.6,8082
2026-05-29T15:38:27.827208+00:00,DRONE-6842,True,Skydio,19.028147,72.892913,19.138239,72.931076,0.96,142.86,15.11,280,192.168.0.6,8082
2026-05-29T15:38:28.828441+00:00,DRONE-5865,True,DJI Phantom,19.147101,72.78522,18.964763,72.808895,0.83,272.87,10.94,26,192.168.0.6,8082
2026-05-29T15:38:29.830052+00:00,DRONE-9361,True,Unknown,19.162373,72.970325,18.957968,72.854405,0.87,55.78,7.15,135,192.168.0.6,8082
2026-05-29T15:38:30.831665+00:00,DRONE-1883,True,Skydio,19.129176,72.874799,18.988234,72.85794,0.97,305.93,30.68,288,192.168.0.6,8082
2026-05-29T15:38:31.833279+00:00,DRONE-1044,True,Unknown,19.161513,72.904518,18.969136,72.953673,0.81,398.78,6.76,164,192.168.0.6,8082
2026-05-29T15:38:32.834921+00:00,DRONE-6951,True,Autel EVO,18.974777,72.764443,18.905398,72.821113,0.85,334.47,34.09,201,192.168.0.6,8082
2026-05-29T15:38:33.836528+00:00,DRONE-6037,True,Skydio,19.086557,72.856222,18.955782,72.736448,0.89,479.03,13.52,349,192.168.0.6,8082
2026-05-29T15:38:34.838142+00:00,DRONE-7448,True,Autel EVO,19.030863,72.734191,19.064063,72.945915,0.84,415.44,10.11,76,192.168.0.6,8082
2026-05-29T15:38:35.839346+00:00,DRONE-3213,True,DJI Phantom,19.159998,72.795014,19.165945,72.830453,0.93,416.18,19.25,156,192.168.0.6,8082
2026-05-29T15:38:36.840327+00:00,DRONE-6872,True,Skydio,18.926611,72.767051,19.086312,72.755789,0.97,318.57,13.6,58,192.168.0.6,8082
2026-05-29T15:38:37.841470+00:00,DRONE-4327,True,Unknown,18.983192,72.908119,19.152765,72.724425,0.74,229.71,9.33,281,192.168.0.6,8082
2026-05-29T15:38:38.842325+00:00,DRONE-3753,True,Parrot Anafi,19.005808,72.707197,19.071248,72.898317,0.87,285.35,6.02,237,192.168.0.6,8082
2026-05-29T15:38:39.843326+00:00,DRONE-8588,True,Skydio,19.02709,72.853606,19.182686,72.767868,0.98,309.7,32.27,330,192.168.0.6,8082
2026-05-29T15:38:40.844331+00:00,DRONE-3293,True,DJI Mavic,19.072454,72.950896,18.931292,72.914814,0.88,490.18,15.58,321,192.168.0.6,8082
2026-05-29T15:38:41.845838+00:00,DRONE-8172,True,Unknown,19.010592,72.861848,19.183139,72.703255,0.78,247.74,30.47,215,192.168.0.6,8082
2026-05-29T15:38:42.846339+00:00,DRONE-4057,True,DJI Mini,19.014234,72.886787,18.968054,72.935779,0.81,249.09,27.55,143,192.168.0.6,8082
2026-05-29T15:38:43.847837+00:00,DRONE-4715,True,Skydio,19.029568,72.825245,19.104581,72.748198,0.76,468.92,12.48,74,192.168.0.6,8082
2026-05-29T15:38:44.849447+00:00,DRONE-3630,True,Unknown,19.184648,72.93954,19.12037,72.895124,0.78,358.59,21.59,118,192.168.0.6,8082
2026-05-29T15:38:45.850339+00:00,DRONE-4814,True,DJI Mavic,18.91448,72.958262,19.07029,72.91922,0.89,132.06,26.75,262,192.168.0.6,8082
2026-05-29T15:38:46.851348+00:00,DRONE-4548,True,DJI Mini,18.985432,72.973517,18.938881,72.927157,0.86,283.63,26.95,191,192.168.0.6,8082
2026-05-29T15:38:47.852969+00:00,DRONE-5607,True,DJI Mini,18.966491,72.803062,19.081303,72.863094,0.92,169.28,15.5,320,192.168.0.6,8082
2026-05-29T15:38:48.854231+00:00,DRONE-1892,True,DJI Mavic,19.020781,72.983075,19.167578,72.764654,0.87,53.65,31.73,346,192.168.0.6,8082
2026-05-29T15:38:49.855849+00:00,DRONE-7084,True,DJI Phantom,19.061157,72.749572,19.043485,72.95282,0.81,218.85,10.17,189,192.168.0.6,8082
2026-05-29T15:38:50.857102+00:00,DRONE-9155,True,DJI Phantom,18.998526,72.721899,19.197838,72.85653,0.96,126.28,16.46,182,192.168.0.6,8082
2026-05-29T15:38:51.858737+00:00,DRONE-5360,True,DJI Mavic,19.018379,72.872757,19.111105,72.92181,0.72,311.89,33.99,132,192.168.0.6,8082
2026-05-29T15:38:52.859997+00:00,DRONE-3209,True,Skydio,19.033788,72.965396,19.106535,72.928759,0.72,60.08,18.01,117,192.168.0.6,8082
2026-05-29T15:38:53.861588+00:00,DRONE-5897,True,Parrot Anafi,18.931283,72.837606,18.921621,72.816826,0.98,337.98,17.81,83,192.168.0.6,8082
2026-05-29T15:38:54.862387+00:00,DRONE-7095,True,Unknown,19.059792,72.836046,19.186613,72.884775,0.9,343.93,0.77,104,192.168.0.6,8082
2026-05-29T15:38:55.863719+00:00,DRONE-3229,True,DJI Mavic,18.975897,72.748536,19.006993,72.975538,0.93,384.57,23.93,353,192.168.0.6,8082
2026-05-29T15:38:56.865338+00:00,DRONE-7510,True,Autel EVO,18.93364,72.835857,19.02803,72.760993,0.71,379.54,6.57,83,192.168.0.6,8082
2026-05-29T15:38:57.866931+00:00,DRONE-2458,True,Unknown,19.174328,72.759865,19.163889,72.891805,0.89,161.04,0.0,182,192.168.0.6,8082
2026-05-29T15:38:58.868069+00:00,DRONE-7847,True,DJI Mavic,19.145879,72.828433,18.926993,72.893681,0.91,312.74,31.16,293,192.168.0.6,8082
2026-05-29T15:38:59.868331+00:00,DRONE-7156,True,Parrot Anafi,18.96704,72.833206,19.102186,72.766237,0.78,92.55,28.5,30,192.168.0.6,8082
2026-05-29T15:39:00.869471+00:00,DRONE-6112,True,DJI Mavic,19.191121,72.884226,19.102933,72.86925,0.79,248.13,5.78,260,192.168.0.6,8082
2026-05-29T15:39:01.870326+00:00,DRONE-9870,True,Parrot Anafi,19.198146,72.741925,19.137635,72.915688,0.91,141.57,19.43,136,192.168.0.6,8082
2026-05-29T15:39:02.871494+00:00,DRONE-6597,True,DJI Phantom,19.063288,72.762836,18.966127,72.752069,0.72,250.86,26.01,33,192.168.0.6,8082
2026-05-29T15:39:03.873109+00:00,DRONE-1151,True,Unknown,18.915976,72.726066,19.101099,72.73892,0.83,251.49,5.84,141,192.168.0.6,8082
2026-05-29T15:39:04.874731+00:00,DRONE-6795,True,Autel EVO,19.157123,72.991974,18.989379,72.704595,0.98,162.43,28.03,201,192.168.0.6,8082
2026-05-29T15:39:05.875349+00:00,DRONE-6495,True,DJI Mavic,18.966981,72.783853,18.939431,72.929219,0.92,151.13,14.79,325,192.168.0.6,8082
2026-05-29T15:39:06.876989+00:00,DRONE-4589,True,DJI Phantom,18.919025,72.706683,19.196175,72.734615,0.71,270.89,5.26,168,192.168.0.6,8082
